COLUMN_NAME,DATA_TYPE
MemberLoginId,varchar
MemberKeyNumeric,int
MemberStatus,varchar
MemberType,varchar
MemberMlsSecurityClass,varchar
LastLoginTimestamp,datetime2
MemberNamePrefix,varchar
MemberFirstName,varchar
MemberMiddleName,varchar
MemberLastName,varchar
MemberFullName,varchar
Signature,varchar
MemberAddress1,varchar
MemberAddress2,varchar
MemberCity,varchar
MemberStateOrProvince,varchar
MemberPostalCode,varchar
MemberCountry,varchar
MemberDirectPhone,varchar
MemberHomePhone,varchar
MemberMobilePhone,varchar
MemberOtherPhoneSMSNumber,varchar
MemberPager,varchar
MemberVoiceMail,varchar
MemberEmail,varchar
MemberFax,varchar
SocialMediaWebsiteUrlOrId,varchar
MemberNationalAssociationId,varchar
MemberNrdsID,varchar
MemberStateLicense,varchar
ModificationTimestamp,datetime2
OfficeMlsId,varchar
